,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses,gold_label,vote_count,agreement,mean_vote
360,BNC-2337,know,question,"But the horror of losing was as much to do with money as with pride. Biddy had never let them down, come without fail all through the bad weather, and now was giving Nails an intensive course on her own horse which - in terms of money - was worth another couple of hundred pounds.",Yet surely she knew they had no way of paying should she demand it?,they had no way of paying,,present,she,third,singular,question,BNC,yes,0.111111111,1.691481928,2.25,1.164964745,"3, 3, 3, 3, 2, 0, 1, 3",entailment,8,0.875000,2.250000
361,BNC-2338,know,question,"The slaves continued their stoking, shuffling to and from the cart, heaving the beech logs into the next furnace. The Robemaker moved forward, prodding Nuadu onwards and, as they moved down the centre of the Workshop, the blazing furnaces roaring on each side of them, Nuadu felt his skin already shrivelling from the heat.",How must it be to work here day after day month after month knowing there was no end to it?,there was no end to working here,,present,null,third,singular,question,BNC,yes,2.111111111,0.927960727,2.333333333,0.707106781,"2, 3, 3, 1, 2, 2, 3, 2, 3",entailment,9,1.000000,2.333333
362,BNC-2340,know,question,"I ducked so fast I wasn't sure whether he 'd seen me or not, but it gave me a prickly feeling just to imagine it, so I scuttled for the door and legged it up the spiral stairway three steps at a time, just in case. As I ran, I remember thinking stupid thoughts like.",How did he know I was up here looking down?,he was up there looking down,,past,he,third,singular,question,BNC,yes,0,1.333333333,2.75,0.46291005,"2, 3, 3, 3, 3, 3, 3, 2",entailment,8,1.000000,2.750000
363,BNC-236,mean,conditional,"Ari felt very old as she walked back to the group. It seemed that, all around her, things were changing - old, beloved routines that had felt safe and comfortable were decaying into new patterns.",If by working with Roirbak it meant she had to leave Star Eye it might be for the best.,Ari had to leave Star Eye,,future,it,third,singular,conditional,BNC,no,0.125,1.125991626,1.375,0.916125381,"0, 2, 1, 1, 1, 1, 3, 2",entailment,8,0.875000,1.375000
365,BNC-2375,know,question,"At the heart of the universe there is cruelty. We are predators and are preyed upon, every living thing.",Did you know that wasps lay their eggs in ladybirds piercing the weak spot in their armour?,wasps lay their eggs in ladybirds,,present,you,second,unknown,question,BNC,yes,-0.181818182,0.981649817,3,0,"3, 3, 3, 3, 3, 3, 3, 3",entailment,8,1.000000,3.000000
366,BNC-2378,know,question,``I wanted to tell you. But the Bookman asked me to keep our meeting a secret.'',How did you know I 'd met him?,he had met the Bookman,,past,you,second,unknown,question,BNC,yes,2.181818182,1.662418829,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 2, 3",entailment,8,1.000000,2.875000
368,BNC-2394,know,question,"``Rather a long shot, wasn't it? Twenty years?''",How do you know the baby was born here?,the baby was born here,,present,you,second,unknown,question,BNC,yes,-0.6,0.843274043,-0.25,0.707106781,"0, 0, 0, 0, 0, -2, 0, 0",neutral,8,0.875000,-0.250000
369,BNC-2397,know,question,Did you know that? Pluto... the God of Hades.,Did you know that the planet Saturn is associated with lead?,the planet Saturn is associated with lead,,present,you,second,unknown,question,BNC,yes,-1,1.414213562,2.777777778,0.440958552,"2, 3, 3, 3, 2, 3, 3, 3, 3",entailment,9,1.000000,2.777778
370,BNC-2414,learn,question,She rubbed them away with an angry fist. She was a fool to let anyone get round her.,How long before she learned that folk 'll always take advantage of weakness?,folk 'll always take advantage of weakness,,future,she,third,singular,question,BNC,yes,1.727272727,1.009049958,2.333333333,1,"3, 0, 3, 3, 3, 3, 2, 2, 2",entailment,9,0.888889,2.333333
371,BNC-2416,learn,question,"At length she decided that there was nothing to be gained by worrying her. Probably there was some quite innocent explanation, which Roger Kenyon would give her when she returned the wallet - if, indeed, it were his.",And yet why had his manner changed so abruptly when he learned that the girl whose hat he had rescued was going to live at Sunset Cottage?,the girl whose hat Roger Kenyon had rescued was going to live at Sunset Cottage,,past,he,third,singular,question,BNC,yes,-0.5,0.904534034,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 2, 3",entailment,8,1.000000,2.875000
375,BNC-2430,mean,question,"Laying the Christmas decoration on the eiderdown with care, he thought about Vic. What had he really been saying as they sat among the trees?",Did he mean that Mungo was not welcome here?,Mungo was not welcome here,,past,he,third,singular,question,BNC,no,0,0.534522484,0.111111111,0.333333333,"0, 0, 0, 0, 1, 0, 0, 0, 0",neutral,9,0.888889,0.111111
378,BNC-2449,notice,question,"Anna looked at Peter again and said to herself in a guilty whisper, ``Will he become even more difficult?'' She wondered if a stranger could tell that he was difficult, just by looking at him.",Would such a person watching Peter now reading the prayers of Rite B in his level pleasant voice notice that resentment lay like his blood just under his skin because the life he had chosen had not turned out as he had expected it to?,resentment lay just under Peter's skin,,present,such a person,third,singular,question,BNC,yes,0.6,0.699205899,2,0.755928946,"3, 2, 2, 1, 1, 3, 2, 2",entailment,8,1.000000,2.000000
382,BNC-2460,realize,question,Jean was tough and liked to drink. She would endure for a long while yet.,But what would she do when she realized that with things as they were she was on a life sentence not just a temporary suspension of essential pleasure?,Jean was on a life sentence,,future,she,third,singular,question,BNC,yes,-0.1,1.197219,2,1.936491673,"3, 3, 3, -3, 2, 3, 2, 3, 2",entailment,9,0.888889,2.000000
383,BNC-2462,realize,question,"Obispal's gaze drifted towards Meh ` Lindi, and he frowned as if adding the final piece to a puzzle which had been perplexing him, but not liking the pattern that he saw.",Did Obispal's associates realize that the rashly rampaging Inquisitor was only present in this auditorium courtesy of Jaq's Assassin who had plucked him to safety?,the rashly rampaging Inquisitor was only present in this auditorium courtesy of Jaq's Assassin,,present,Obispal's associates,third,plural,question,BNC,yes,-0.3,1.059349905,2.333333333,1.322875656,"3, 3, 3, -1, 3, 2, 3, 3, 2",entailment,9,0.888889,2.333333
384,BNC-2463,realize,question,Out on the waste ground is a guy with his head bashed in. Ludo swung his club at him with all that strength he hardly knows he possesses.,Does Ludo now realise the man is dead?,the man is dead,,present,Ludo,third,singular,question,BNC,yes,1.5,0.971825316,2.75,0.46291005,"3, 3, 3, 3, 2, 3, 2, 3",entailment,8,1.000000,2.750000
386,BNC-2468,realize,question,"I promised Mr Harvey I would. Of course, he's terribly anxious for me to settle down out there, marry Cora-Beth and become an American citizen, the way his father did years ago.",Do you realize that according to some strange Scottish law about dynasties Cora-Beth is now heir to the title and the Kinmuire estate?,Cora-Beth is now heir to the title and the Kinmuire estate,,present,you,second,unknown,question,BNC,yes,0.166666667,1.466804401,2.375,0.744023809,"2, 3, 3, 2, 2, 3, 3, 1",entailment,8,1.000000,2.375000
388,BNC-2490,say,question,"Modify the arachnids, said the researchers. Change their bodies and conditions, and you could get fibres like glass, still monofilament, but with logarithmic progressions of possibilities of strength and flexibility, and the ability to resonate light-particles or sound-waves undistorted, scarcely weakened over thousands of miles.",Who said the arachnids had to be totally organic?,arachnids had to be totally organic,,past,who,third,singular,question,BNC,no,-0.2,1.932183566,-1.888888889,0.600925213,"-1, -2, -3, -2, -2, -2, -2, -1, -2",contradiction,9,1.000000,-1.888889
390,BNC-2497,say,question,"While the rest of the gang dived into the pub opposite to use the toilets, I called in at H. R. Higgins (Coffee-man) Ltd and bought six gift boxes of coffee (assorted) and two of tea (scented). That was my Christmas shopping sewn up.",Who said it was stressful?,Christmas shopping was stressful,,past,who,third,singular,question,BNC,no,-1.625,1.407885953,-2.375,0.744023809,"-3, -2, -2, -1, -2, -3, -3, -3",contradiction,8,1.000000,-2.375000
396,BNC-2528,say,question,And she still didn't know what was on Luke Hunter's mind. But the day after that things began to get a little clearer.,This time Reception said they had run out of vases and whatever he 'd done didn't she think it was time she forgave him?,Reception had run out of vases,,present,Reception,third,singular,question,BNC,no,-0.181818182,0.981649817,2.111111111,0.927960727,"2, 2, 2, 3, 2, 0, 2, 3, 3",entailment,9,0.888889,2.111111
400,BNC-2580,say,question,``Clever''. Klug means ``clever''.,Would you say that Abie was clever?,Abie was clever,,present,you,second,unknown,question,BNC,no,0.818181818,1.167748416,0,0,"0, 0, 0, 0, 0, 0, 0, 0",neutral,8,1.000000,0.000000
405,BNC-263,notice,conditional,The assassin's tone and bearing were completely confident.,If he noticed that Zukov was now edging further to the side widening the arc of fire he did not appear to be troubled.,Zukov was edging further to the side,,present,he,third,singular,conditional,BNC,yes,0.25,1.164964745,2.25,0.88640526,"2, 1, 1, 3, 3, 2, 3, 3",entailment,8,1.000000,2.250000
406,BNC-2630,tell,question,"The Susweca. It means ``dragonfly'' in Sioux, you know.",Did I ever tell you that's where Paul and I met?,Susweca is where she and Paul met,,past,I,first,singular,question,BNC,no,-0.272727273,1.678744119,3,0,"3, 3, 3, 3, 3, 3, 3, 3, 3",entailment,9,1.000000,3.000000
407,BNC-2658,think,question,"Therese, lying on her narrow bed at the Goldener Adler, was fighting overwhelming panic. She was exhausted and she wasn't even taking the lead in tonight's performance.",If she was this tired how did she think she 'd be able to survive Maritza on the following night and Luxembourg next week?,Therese 'd be able to survive Maritza on the following night,,present,she,third,singular,question,BNC,no,-0.916666667,0.900336637,-1.75,1.035098339,"-2, -3, 0, -1, -1, -3, -2, -2",contradiction,8,0.875000,-1.750000
408,BNC-2661,think,question,"Valence the void-brain, Valence the virtuous valet. Why couldn't the figger choose his own portion of titanic anatomy to shaft?",Did he think he was helping?,Valence was helping,,past,he,third,singular,question,BNC,no,-1.666666667,1.497472618,-2.25,0.707106781,"-3, -1, -3, -2, -3, -2, -2, -2",contradiction,8,1.000000,-2.250000
414,BNC-297,say,conditional,"How do you know? she was going to ask, but his smile was answer enough.",If DeVore said there was going to be a vacancy there would be a vacancy.,there was going to be a vacancy,,present,DeVore,third,singular,conditional,BNC,no,0,1.322875656,2.125,1.125991626,"0, 3, 2, 3, 2, 1, 3, 3",entailment,8,0.875000,2.125000
415,BNC-299,say,conditional,"Colin hated the way he inspected the rag before folding the contents into the centre and forcing it into his trouser pocket. Smith obliged on all counts before announcing firmly, ``It was Arson.''",If Smith said it was Arson then that's what it was.,it was Arson,,past,Smith,third,singular,conditional,BNC,no,2.636363636,0.674199862,2.666666667,0.5,"3, 3, 2, 2, 3, 3, 3, 2, 3",entailment,9,1.000000,2.666667
418,BNC-325,say,conditional,"She didn't know if they had given themselves sufficient time to think things over before they married - that was the kind of question her sister Louise asked. Edward stayed in the Engineers for a bit, then came out and was not very successful in finding a job to suit him.",That wasn't his fault and if anyone said that it was Nenna would still feel like poking a hole in them.,it was Edward's fault,,future,anyone,third,singular,conditional,BNC,no,0.1,1.100504935,-2.333333333,1.497472618,"-3, -1, 2, -3, -3, -3, -3, -3, -2, -3, -3, -3",contradiction,12,0.916667,-2.333333
424,BNC-356,say,conditional,"Indeed, in those busy days, our servants ' hall would often witness a gathering of some of the finest professionals in England talking late into the night by the warmth of the fire. Sometimes, naturally, there would be strong disagreements, but more often than not, the atmosphere was dominated by a feeling of mutual respect.",Perhaps I will convey a better idea of the tone of those evenings if I say that regular visitors included the likes of Mr Harry Graham valet-butler to Sir James Chambers and Mr John Donalds valet to Mr Sydney Dickenson.,regular visitors included the likes of Mr Harry Graham valet-butler to Sir James Chambers,,present,I,first,singular,conditional,BNC,no,0.777777778,0.833333333,2.888888889,0.333333333,"3, 3, 3, 2, 3, 3, 3, 3, 3",entailment,9,1.000000,2.888889
426,BNC-363,say,conditional,"``Oh, come on! Don't lie, to me or yourself.''",You know damned well that if I said black was black you 'd say it was white!,black was black,,present,I,first,singular,conditional,BNC,no,1.125,2.100170061,2.8,0.632455532,"1, 3, 3, 3, 3, 3, 3, 3, 3, 3",entailment,10,1.000000,2.800000
428,BNC-370,say,conditional,"Who knows how many quarrels, false accusations, unnecessary dismissals, how many promising careers cut short can be attributed to a butler's slovenliness at the stage of drawing up the staff plan? Indeed, I can say I am in agreement with those who say that the ability to draw up a good staff plan is the cornerstone of any decent butler's skills.",I have myself devised many staff plans over the years and I do not believe I am being unduly boastful if I say that very few ever needed amendment.,very few plans ever needed amendment,,present,I,first,singular,conditional,BNC,no,-0.454545455,1.752919642,2.3,1.251665557,"2, 3, 3, 3, 3, 0, 3, 3, 3, 0",entailment,10,0.800000,2.300000
429,BNC-371,say,conditional,"You will not dispute, I presume, that Mr Marshall of Charleville House and Mr Lane of Bridewood have been the two great butlers of recent times. Perhaps you might be persuaded that Mr Henderson of Branbury Castle also falls into this rare category.",But you may think me merely biased if I say that my own father could in many ways be considered to rank with such men and that his career is the one I have always scrutinized for a definition of ``dignity''.,his own father could in many ways be considered to rank with such men,,present,I,first,singular,conditional,BNC,no,0.727272727,0.786245393,2.25,1.035098339,"1, 1, 3, 3, 3, 1, 3, 3",entailment,8,1.000000,2.250000
431,BNC-374,say,conditional,"Obeying his instruction, I proffered my hand, open palm upwards, towards the animal. The ratbird climbed on and began to preen its fur unconcernedly.",Nobody will blame me if I say that in the circumstances I became very uneasy.,in the circumstances she became very uneasy,,present,I,first,singular,conditional,BNC,no,-0.454545455,1.634847783,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 2, 3",entailment,8,1.000000,2.875000
433,BNC-385,say,conditional,"At this time of year not much, it's been a dryish summer, and there's not a lot of water coming down. Say half a knot - and that's probably an over-estimate.",If you say that a freely-floating body - and the weights would help a bit there because they'd keep it under water and out of any wind - moves down on the ebb at an average of a bit under two knots you'd not be far wrong.,a freely-floating body moves down on the ebb at an average of a bit under two knots,,present,you,second,unknown,conditional,BNC,no,0,1.690308509,1.555555556,0.881917104,"2, 2, 1, 0, 1, 2, 2, 1, 3",entailment,9,0.888889,1.555556
438,BNC-402,suppose,conditional,I shall not waver even at this supreme moment. Nor shall I again urge the objections cited above to the ``murderous conspiracy'' theory.,I simply wish to point out that if it is supposed that Karen Parsons and I embarked that afternoon with the intention of drowning her husband why did we wait till we had reached a point where our criminal acts were overlooked by at least fifteen witnesses?,he and Karen Parsons embarked that afternoon with the intention of drowning her husband,,present,it,third,singular,conditional,BNC,no,-1,1.414213562,-2.375,1.407885953,"-3, -3, 1, -2, -3, -3, -3, -3",contradiction,8,0.875000,-2.375000
439,BNC-403,suppose,conditional,"He had only to say he admired Grace Bird's fortitude and instantly her chin stiffened with resolve. He had but to comment favourably on the kittenish qualities of Babs Osborne for her to curl up as best she could on the plush seat beside him, her thumb in her mouth.",Twenty-four hours later he admonished Babs for over-stressing the little-girl aspect of Cleopatra pointing out that childishness of character was not a question of years and that she was mistaken if she supposed the difference between folly and wisdom had anything to do with either age or youth.,the difference between folly and wisdom had anything to do with either age or youth,,present,she,third,singular,conditional,BNC,no,0.5,0.904534034,-1.75,1.669045921,"-1, -3, -3, 2, -2, -2, -3, -2",contradiction,8,0.875000,-1.750000
441,BNC-407,suspect,conditional,What had brought Gharr and Ten-huc and Pulvidon to the planet at the same time? Why were all of them so interested in why I was there?,And if they somehow suspected that I was picking up something valuable why would any of them try to kill me before the pick-up?,she was picking up something valuable,,past,they,third,plural,conditional,BNC,no,0.636363636,1.120064933,1.875,1.125991626,"3, 3, 0, 2, 1, 3, 1, 2",entailment,8,0.875000,1.875000
444,BNC-415,suspect,conditional,"However, I will let the gynandrous renegade stay here under one condition. If Penumbra questions either of us, we will not lie.",If she suspects Crevecoeur is here and asks we let him go back.,Crevecoeur is here,,future,she,third,singular,conditional,BNC,no,0.363636364,1.361816968,2.333333333,1.118033989,"2, 3, 0, 1, 3, 3, 3, 3, 3",entailment,9,0.888889,2.333333
451,BNC-431,tell,modal,This was a sheer waste of time. He would probably land and then tell them to walk back.,When she glanced at him again he looked very grim and she wondered if she should have told Mitch that he might well have a lot of opportunity to photograph Spain - on foot as he walked back to Malaga.,Mitch might well have a lot of opportunity to photograph Spain,DE,past,she,third,singular,modal,BNC,no,0,1.264911064,1.555555556,1.013793755,"2, 0, 1, 3, 2, 1, 3, 1, 1",entailment,9,0.888889,1.555556
468,BNC-509,think,conditional,"Perhaps I might have recognized my own hypocrisy, if it had not been for Richard's behaviour in the next months. He brought me flowers, took me out to dinner and the theatre, and was generally attentive to me, as if I were his mistress and not an old married woman.",If at any point I thought that his solicitude was the sort of tender kindness you might show to someone utterly dependent and helpless - a prisoner or a caged bird - I was ashamed at once and re-doubled my efforts to be a good wife asking Nonni to teach me how to cook the elaborate dishes Richard liked and taking care to change my dress before he came home in the evening.,Richard's solicitude was the sort of tender kindness you might show to someone utterly dependent and helpless,,past,I,first,singular,conditional,BNC,no,0.444444444,1.666666667,1.25,0.88640526,"0, 1, 3, 1, 2, 1, 1, 1",entailment,8,0.875000,1.250000
469,BNC-510,think,conditional,"Children aren't real people, in the sense that they are not small males and females but a separate species which will (probably) grow into one or the other in due time. Younger children in particular, before the insidious and evil influence of society and their parents have properly got to them, are sexlessly open and hence perfectly likeable.",I did like Esmerelda (even if I thought her name was a bit soppy) and played with her a lot when she came to stay.,Esmerelda's name was a bit soppy,,past,I,first,singular,conditional,BNC,no,0.3,0.483045892,2.375,0.744023809,"2, 3, 2, 1, 2, 3, 3, 3",entailment,8,1.000000,2.375000
471,BNC-540,think,conditional,"``Look, Preston, I can't listen to any more. You burst into my office talking about killings.''",If you think I have any personal knowledge of matters of that kind you must be crazy.,she has any personal knowledge of matters of that kind,,present,you,second,unknown,conditional,BNC,no,0.2,1.619327707,-2.875,0.353553391,"-3, -3, -2, -3, -3, -3, -3, -3",contradiction,8,1.000000,-2.875000
472,BNC-549,think,conditional,"My dear girl, it's a small fortune! No one in her right mind would turn her back on that!",If you think I 'd believe such crazy behaviour you've miscalculated my knowledge of human nature.,he 'd believe such crazy behavior,,present,you,second,unknown,conditional,BNC,no,-0.916666667,1.975225342,-2.25,2.121320344,"-3, -3, 3, -3, -3, -3, -3, -3",contradiction,8,0.875000,-2.250000
474,BNC-566,admit,modal,"There was latent power in every careless move he made. His body was extremely fit, not an ounce of surplus flesh on him, and every trained muscle and sinew was ready to act in a split-second to whatever the brain required of it.",Paige could only admit that she had never seen a better male specimen.,Paige had never seen a better male specimen,AB,present,Paige,third,singular,modal,BNC,no,1.625,1.302470181,2.888888889,0.333333333,"3, 3, 3, 3, 2, 3, 3, 3, 3",entailment,9,1.000000,2.888889
478,BNC-572,assume,modal,"He often referred to the royal garden party when he was in a good frame of mind. Scarlet still found the episode entirely mysterious, since she could think of no reason at all why they had been invited.",It was improbable in the extreme that Brian's sterling qualities had come to the notice of the Comptroller of the Household and she could only assume that the summons had been the consequence of her father's having been an RA.,the summons had been the consequence of Scarlet's father's having been an RA,AB,present,she,third,singular,modal,BNC,no,-0.363636364,1.433368569,1.818181818,0.873862898,"2, 1, 2, 3, 2, 2, 3, 2, 0, 1, 2",entailment,11,0.909091,1.818182
483,BNC-584,believe,modal,"The meat tea was probably the answer. A big slice of ham, or grilled bacon, or a few sausages, and they could put a few extra on Benny's plate in case she felt the need of it.",Annabel could hardly believe that she had a daughter about to go to university.,Annabel had a daughter about to go to university,AB,present,Annabel,third,singular,modal,BNC,no,-0.2,1.032795559,2.375,1.767766953,"3, -2, 3, 3, 3, 3, 3, 3",entailment,8,0.875000,2.375000
492,BNC-599,believe,modal,"There was a group of curious onlookers... Marie felt her legs give way beneath her, she sat down on the edge of the pavement, feet in the gutter, doubled-up, sick and winded as if someone had punched her in the stomach. She lifted up her head and looked again.",She had watched scenes like this so often in detective films and police series on television that she could hardly believe that this was real life.,this was real life,AB,present,she,third,singular,modal,BNC,no,1.888888889,1.054092553,1.777777778,1.301708279,"2, 2, 3, 3, -1, 1, 1, 2, 3",entailment,9,0.888889,1.777778
494,BNC-601,believe,modal,His microphone whistled a little and Sally winced in embarrassment.,The first model appeared on the catwalk looking so glamorous so unbelievably chic that Sally could scarcely believe that her very own sister could be a part of this glittering performance.,Sally's very own sister could be a part of this glittering performance,AB,present,Sally,third,singular,modal,BNC,no,-0.3,0.483045892,2.125,0.640869944,"2, 3, 2, 2, 2, 2, 3, 1",entailment,8,1.000000,2.125000
499,BNC-61,feel,conditional,"Nicky approached her with the assumption that men are naturally right and it is the role of women to follow their lead. Constance, whose confidence was growing daily, was not prepared to give in to Nicky's wishes merely because of his sex.",If she felt he was right then she agreed with him.,Nicky was right,,present,she,third,singular,conditional,BNC,no,-0.7,1.888562063,0.222222222,0.666666667,"0, 0, 0, 0, 2, 0, 0, 0, 0",neutral,9,0.888889,0.222222
501,BNC-613,believe,modal,"I had been there and I knew it as a beautiful seaside resort, but that wasn't why I was so delighted. It was because it was in Yorkshire.",As we marched out of the station into the streets of Scarborough I could hardly believe I was back in Yorkshire.,he was back in Yorkshire,AB,present,I,first,singular,modal,BNC,no,3,0,2.5,0.755928946,"1, 2, 3, 3, 3, 3, 3, 2",entailment,8,1.000000,2.500000
502,BNC-618,believe,modal,Just knowing they are there in the bag is as comforting as Victor finds his cheroots. I can already feel the shape of one resting in my palm.,I could believe my first finger has threaded through the trigger-guard.,his first finger has threaded through the trigger-guard,AB,present,I,first,singular,modal,BNC,no,-0.636363636,1.911686547,1.875,1.125991626,"1, 3, 1, 3, 2, 2, 0, 3",entailment,8,0.875000,1.875000
504,BNC-625,believe,modal,"Your honesty shines out of your face, my darling. It isn't your fault that cynical men like myself won't let themselves believe what they see!",I just wish you could believe that Eddie's death was an accident and nothing to do with me.,Eddie's death was an accident and nothing to do with him,AB,present,you,second,unknown,modal,BNC,no,0,1.341640786,2.625,0.744023809,"3, 3, 1, 3, 3, 3, 3, 2",entailment,8,1.000000,2.625000
507,BNC-634,convince,modal,Maggie rocked her closer still. She could understand the guilt that Ana carried.,She prayed that Felipe would hurry back because he was the only one who could convince Ana that she was not to blame.,Ana was not to blame,AB,present,who,third,singular,modal,BNC,no,0.25,1.982062418,2.25,0.707106781,"2, 3, 2, 1, 2, 3, 3, 2",entailment,8,1.000000,2.250000
509,BNC-637,decide,modal,I can't afford to get bogged down in the weeds. But at least you know she did leave.,Maybe a coincidence maybe the two girls talked on the phone decided they 'd both had enough.,the two girls had both had enough,EP,past,the two girls,third,plural,modal,BNC,no,0.416666667,1.676486224,0.3,0.674948558,"0, 0, 0, 0, 2, 1, 0, 0, 0, 0",neutral,10,0.800000,0.300000
510,BNC-638,decide,modal,Country churches were never locked. You could wander in at any time.,Perhaps Cromwell when he passed also found the door of Coldingham Priory locked and decided that he would get in anyway even if it meant removing a whole wall in order to do so.,Cromwell would get in anyway,EP,past,Cromwell,third,singular,modal,BNC,no,1.363636364,1.566698904,2,1.354006401,"1, 3, 3, 3, -1, 0, 3, 3, 2, 3, 3, 1, 2",entailment,13,0.846154,2.000000
512,BNC-646,decide,modal,She was about to tell him that was his own stupid fault and that she wasn't here to wait on him - particularly since he had proved to be so inhospitable. But she bit back the words.,Perhaps if she made herself useful he might decide she could stay - for a while at least just until she got something else sorted out.,she could stay,EP,future,he,third,singular,modal,BNC,no,-0.454545455,1.12815215,0.3,0.948683298,"0, 0, 3, 0, 0, 0, 0, 0, 0, 0",neutral,10,0.900000,0.300000
513,BNC-650,feel,modal,"She longed for a weapon, for even a hairpin, and knowing that she did not have one, she knew too that she was totally defenceless, unarmed and alone. She could feel the great flight of the dragon and sensed that she was high in air and travelling fast towards the sunset.",She could feel the great muscles of the dragon's wings send ripplings down the stomach walls and she gave herself over to death.,the great muscles of the dragon's wings sent ripplings down the stomach walls,AB,present,she,third,singular,modal,BNC,no,0.636363636,0.924416278,2.333333333,1.658312395,"-2, 3, 3, 3, 3, 3, 3, 2, 3",entailment,9,0.888889,2.333333
514,BNC-652,feel,modal,"``Molly likes having an audience for her tales and it passes the hours for them.'' When Miss Louisa had a second more severe stroke at the end of August, and Miss Ellen another heart attack, both old ladies died within a few days of each other.",Their friends could only feel that death was merciful in the circumstances especially with war imminent and that Molly had made the closing months of their lives very happy.,death was merciful in the circumstances,AB,past,friend,third,plural,modal,BNC,no,0.636363636,0.924416278,1.75,0.46291005,"2, 2, 2, 1, 2, 2, 1, 2",entailment,8,1.000000,1.750000
515,BNC-654,feel,modal,Joseph spat and spluttered blood.,He had lost the two centre top teeth and with the tip of his tongue he could feel that the two on either side were also loose.,the two teeth on either side were also loose,AB,present,he,third,singular,modal,BNC,no,0.6,0.966091783,2.777777778,0.666666667,"3, 3, 3, 3, 3, 3, 3, 3, 1",entailment,9,1.000000,2.777778
520,BNC-667,find,modal,"Our groundshare next season will show what the team is really made of as we run out for home games on the unfamiliar battlefield of St Dodimeads Comprehensive. With the pitch being unavailable during term time, three-quarters of our games will be away.",Travelling to these matches could of course prove expensive and some of our senior supporters may find they are unable to afford it.,some senior supporters are unable to afford traveling to these matches,EP,future,some,third,plural,modal,BNC,yes,0.3,1.159501809,1.125,1.356202682,"2, 2, 1, 2, 1, 2, 1, -2",entailment,8,0.875000,1.125000
526,BNC-698,find,modal,"``We're about to run out of time. I would like to thank you for coming into the studio today, and I'm sure we 'll receive a lot of letters from our listeners about what's been said.''",You could find that this is just the beginning and that your plans aren't quite as cut and dried as they appear.,this is just the beginning,AB,future,you,second,unknown,modal,BNC,yes,0.2,2.201009869,1.777777778,1.201850425,"3, 1, 1, 3, 1, 0, 1, 3, 3",entailment,9,0.888889,1.777778
527,BNC-703,forget,modal,"He didn't say he loved her but,'' I think we're going to love each other, Lyn.'' From the pulled and sagging pockets of his jacket, his Sunday-go-to-meetings suit, his only suit, Dadda produced a cairngorm and silver ring for Lyn and a pearl-handled Stilton knife for Stephen.",Though they might have forgotten that the following day would be the sixth anniversary of their engagement he with his prodigious memory had not.,the following day would be the sixth anniversary of Lyn and Stephen's engagement,EP,past,they,third,plural,modal,BNC,yes,0.8,1.398411798,2.666666667,0.707106781,"3, 2, 3, 3, 3, 3, 1, 3, 3",entailment,9,1.000000,2.666667
529,BNC-705,forget,modal,"He also liked swimming and cycling. He said that he wrote stories, though he had to admit that he had never got further than the first two pages.",Willie meanwhile not only remained silent during these conversations but picked his berries slowly so that they might forget that he was there but he reckoned without Zach.,Willie was there,EP,present,they,third,plural,modal,BNC,yes,-0.125,1.356202682,2.75,0.46291005,"3, 3, 3, 3, 2, 3, 3, 2",entailment,8,1.000000,2.750000
532,BNC-713,guess,modal,For the first time in my life I could not confess all my sins to the priest. Father Jankowski looked at me so kindly I could not tell him.,I thought he might have guessed I was not normal.,she was not normal,EP,past,he,third,singular,modal,BNC,no,0.625,1.302470181,2.375,0.51754917,"2, 3, 3, 2, 2, 2, 3, 2",entailment,8,1.000000,2.375000
533,BNC-714,guess,modal,``For God's sake keep them in their seats. If we get panic people are going to be crushed to death and there will be mayhem in the car park.'',The announcer could only guess from the urgency in the Chief Constable's voice that the situation was very very serious.,the situation was very very serious,AB,present,announcer,third,singular,modal,BNC,no,3,0,1.875,0.83452296,"2, 1, 3, 3, 2, 1, 1, 2",entailment,8,1.000000,1.875000
535,BNC-720,guess,modal,"``It's your own silly fault,'' Claire said. ``You think people have nothing better to do than listen to you.''",I might have guessed I 'd get no sympathy from Claire.,he 'd get no sympathy from Claire,CI,past,I,first,singular,modal,BNC,no,1.875,1.642080562,2,1,"3, 3, 2, 2, 3, 0, 1, 2, 2",entailment,9,0.888889,2.000000
536,BNC-725,guess,modal,"The lunch trade had mostly disappeared so he wasn't hard to spot. He was at a window table but he was ignoring the river, being deep in conversation with a middle-aged man wearing a suit and a short sheepskin car coat with matching brown suede shoes.",Even from this distance you could guess the guy's tailor was based in Dublin.,the guy's tailor was based in Dublin,AB,present,you,second,unknown,modal,BNC,no,-0.090909091,1.136181804,2.222222222,0.833333333,"2, 2, 3, 2, 1, 1, 3, 3, 3",entailment,9,1.000000,2.222222
537,BNC-726,hear,modal,O listened. As he listened he could smell the man.,And he could hear that the song was almost turning into a sob.,the song was almost turning into a sob,AB,present,he,third,singular,modal,BNC,no,-0.5,1.511857892,2.375,0.51754917,"2, 3, 2, 2, 2, 3, 3, 2",entailment,8,1.000000,2.375000
