index,uID,Context,Target,mean_vote
262,BNC-1840,"She may fall ill, or have an accident while you were out, or set the house on fire and herself, so that you would not want to leave her even to go shopping. Once with you, you would not get rid of her easily, I feel it in my bones.",Neither of us has talked about it and I had not said I was writing until I have now started but your father says he lay awake nearly all night thinking about it.,0.3333333333333333
264,BNC-1874,"All that happens in Howe's whiny drama is that the daughter finds out her flamboyant, selfish mother has a tough row to hoe, as her father is declining into senility. (An understandable state, since he is described as having ``led the way'' for Robert Frost - whose revered poetry is misquoted - which would make him at least 110).",The play never suggests there is anything unpleasant or even tough in the characters of the husband and daughter - hardly credible of two huge successes in art and literature.,-0.8888888888888888
265,BNC-1875,Betty cooked lunch happily. Lydia even brought her some dandelion leaves.,Beuno didn't suggest that Elizabeth would be expecting him back but ate his omelette as casually and thoughtlessly as the squirrel who had moved off to eat nuts in a different hazel tree.,-1
266,BNC-1879,"The frustration of not being able to touch her. The pleasure he had when someone he had known at school passed along the towpath, looked up and saw him, Peter Redburn, having a drink with Kate Molland.",He also remembered the goose pimples that appeared on his arms as the evening grew cooler and how he didn't suggest they went inside because he was afraid she would say that it was time to go.,-0.875
267,BNC-1880,"``Sidacai has not been condemned in order that we may be served, but to satisfy the Yasa,'' Artai responded, bridling.'' - And yet maybe his death should serve you,'' Burun said.",No one had ever suggested that Artai was a fool.,-1
268,BNC-1881,"There was more in this vein as they turned right, and Mungo realized for the first time that they were actually heading into the forest.",Up to now he had been constantly aware of its dark presence encircling the village but nobody had ever suggested that he should enter it.,-1.125
269,BNC-1885,"On the wall was a framed Miro. What kind of boy, Pumfrey marvelled, would choose a picture like that to decorate his room?",When he left he took a pile of exercise books a scrapbook and a diary but a first glance at their contents did not suggest that they were going to be fruitful.,-0.875
270,BNC-1889,"His voice was marked by flat northern vowels and was so soft Dexter felt the muscles in his cheeks tense as he strained to hear. ``OK, Jim,'' replied Blanche with a smile.",Dexter noticed his boss did not suggest Lancaster address her by her Christian name in return.,-1.625
271,BNC-19,"Wiping away Cynthia's tears, she urged her to be on her way and perform this last task before it was too late. ``I'm dreadfully sorry, Harry, I really am.''",Alice's voice held genuine regret for although she had never thought Madeleine the right girl for Harry she would have done anything possible to forward a marriage between them if she truly believed it would make him happy.,-0.75
273,BNC-1916,"He had thought that children were supposed to be sharp and un-sentimental and though Emmie had not written in a sentimental way exactly, she had written about her family as if they were perfect. It had puzzled him and made him very slightly jealous.",He had never supposed that it was publishable or that Emmie cherished ambitions of that kind.,-0.125
274,BNC-1918,"``Of course, we can have a look, but I doubt we 'll find anything. In any case, it's not vital.''",I don't suppose the coroner will make any problems about what happened.,-1.1111111111111112
275,BNC-1935,"Celia, already suffering from disturbed sleep, would wake screaming and Edna, to pacify her, took the child into her own bed. Liza, in the next room, having hardly slept at all since her disastrous meeting with Freddie Nash, lay awake, now resolved that there was only one thing left for her to do.",Even if she did not suspect that she might once again be pregnant she knew after all that had taken place she had no other option.,0.25
276,BNC-1937,``Let's see Leeming first.'' Duncan understood Myeloski's caution.,If the policeman was right if it was a deadly game played by professionals with the resources of the KGB behind them it was important that they didn't suspect their plot had been uncovered.,1.25
277,BNC-1938,"Ace, Defries noted, accepted everything that the Professor said. Defries was convinced.",She had never suspected that her opponent was a computer made of human brains but the Field Agents of the OEO were recruited for their adaptability.,0.8888888888888888
278,BNC-1939,"Geoffrey said the piece was Sheep May Safely Graze by Bach. Whatever it was, it was very tinkly and repetitive, and often, just as he seemed to be getting somewhere, Meredith broke off and started all over again.",Stella hadn't suspected he was musical.,-0.375
281,BNC-1953,"I know Maria did not tell me that the food was often burnt and uneatable, or that they could not sleep because the beds were too cold. She did not tell me that the poor hungry children had to wash with ice in the morning, and walk through wet snow to sit for two hours with icy feet in a cold church on Sundays.",She did not tell me that many of the children at the school were ill.,1.375
284,BNC-1964,``You married?'' ``No.'',Duncan didn't tell him that he would never marry while he was a serving officer in the SAS.,1
286,BNC-1986,It's now now. I got married.,Part of me didn't think I ever would part of me disapproved part of me was a little scared to tell the truth.,-0.5
290,BNC-1997,"And she fished a small parcel from her pocket, and showed Sally-Anne her treasure just as the horse bus finally groaned up - or neighed up, thought Sally-Anne irreverently.",She had never thought that she would ever travel on such a thing although she could not tell Rose that.,0.5555555555555556
292,BNC-2003,"It had come as an unpleasant shock to realize how much they knew. Those employing the man, that was - the French Haute Police, as they called themselves.",Fedorov had not thought anyone could have discovered that much not only about his French activities but those during his youth in Russia.,0.875
293,BNC-2004,"He felt rather than saw the two girls glance at him appraisingly but took no notice. At just over six foot, with thick curling brown hair and eyes that owed their startling blueness to his Irish ancestry, Tom was used to being the object of female appreciation whilst being slightly puzzled by it.",He had never thought the reflection which looked back at him each morning from the shaving mirror was particularly handsome.,0.5555555555555556
294,BNC-2006,Jasper stood looking at the bell rope which came out of a small square aperture at what was the base of the campanile. The end of the rope was wound round a cleat high up on the wall above the door to what had once been the Science Lab.,It was far out of the reach of grown-ups as well as children except that Jasper did not really think anything was out of his reach.,1.625
296,BNC-2012,"She did cry a little, almost soundlessly, and was furious with herself for doing so, her tears mingling with the spray of the shower. It wasn't his words that had hurt, but the intention behind them.",Maria didn't think Luke seriously believed she craved some material gain to show for their relationship.,0
298,BNC-2015,"If only she had been a bit more accommodating, a bit more enthusiastic. As it was he had obviously grown tired of the regular struggles and gone off to find someone who gave in more readily.",But in spite of what had happened at the fashion show she did not think Paula had any hand in it until next day at breakfast.,0
299,BNC-2016,George decided to plunge.,He had already given away too much if Mr Nightingale himself was one of the List but George didn't think he was simply because he had been too easy to find.,-0.3333333333333333
300,BNC-2018,"The road to the Fire Court looked quite straightforward really. It seemed as if you had to go past a large lake and on down a narrow, windy mountain road with houses dotted on each side.",Floy had asked about dangers and what they might expect to encounter but Fenella did not think it looked especially dangerous.,-1.25
302,BNC-2022,"Feargal's censure, Phena's bitterness - a hell of a burden to carry all your adult life. And it must be a burden, knowing that your family thought you a cheat, knowing that you had hurt them, and would continue to hurt them until you died.",Ellie didn't think she would have had that sort of courage.,-0.3333333333333333
303,BNC-2024,Every dead comrade made her more determined to finish her mission. Bernice understood that.,But she didn't think it would be advisable to stand in the way of Isabelle Defries either.,-0.75
304,BNC-2026,"``No, she isn't,'' said Julius's voice from the doorway. Eleanor went completely white, and Jessamy gave a small sigh of relief.",She didn't think she could have gone on handling this by herself not on top of everything else that had happened.,-0.4444444444444444
306,BNC-2028,There was still the hard edge of annoyance in his voice and Jenna gulped back tears. This was not what she had intended.,She had never thought she would see Alain.,-0.5
307,BNC-2034,"Almost inaudibly, Fand said, ``Look at me, mortal, and you will see the mark of her spell in my face.'' Reluctantly, Ruth looked up into the cold changeless eyes.",She hadn't thought she would understand what Fand meant.,-0.4444444444444444
308,BNC-2038,"She knew Eddie's gambling had had disastrous consequences for her family, but it had been a terrible shock to discover he had taken so much from his best friend as well. Could Eddie have run out of that corner deliberately because he couldn't face the consequences of his gambling?",Her logical mind accepted this possibility as it had done countless times before but she didn't think her brother would ever have considered suicide.,-0.375
309,BNC-2046,"``And you such an antidote to the opposite sex. You could give all your money away and then you wouldn't be pursued at all, would you?''",And as for my technique - well my friend loath as I am to admit it I don't think I have one.,-1.8888888888888888
311,BNC-2073,"Didn't have time. I never went no further than you are now, all I come for was my little secateurs, and they were on the shelf here inside the door.",I reckoned I'd come back midday and have a look over everything but I don't think there'll be anything missing.,-0.5
312,BNC-2080,She 'd invited him round the previous evening and things hadn't gone at all as he 'd hoped. That's what Stuart said that Oliver said.,I don't think I reacted to this story in the way Stuart expected.,-1.125
313,BNC-2086,"His small mouth was gentle. She thought, he looks like an angel.",Of course he's a wild man a fox a seal a sort of sprite - such a sweet man - I'm glad he spoke to me I didn't think he remembered.,0.375
314,BNC-2098,"McInnes asked anxiously, one eye on the kitchen door. ``Then I thought we 'd set up the nice Mr Sorley and his mobile Fax van and photograph him in the act of reading other people's mail.''",I didn't think that was bad considering I 'd just thought of it.,-1
317,BNC-2102,And counting. Dressing to Please. They won't miss me for a morning.,I don't think they like me much in that office but then I'm not keen on them either.,1.25
318,BNC-2104,"He had to do it himself. Miss Sowerby - by now an enthusiastic convert - and I had taken turns at massaging the damaged calf muscles, and suddenly I said to him, ``Jimbo, just imagine it's you that's making the muscles move.''",I used the word ``move'' because I didn't think he would understand ``quiver''.,-0.7777777777777778
320,BNC-211,"I gripped the banister and swung myself head over heels, then came out on the roof of a tower. When I made my way down its spiral staircase I found myself in the main thoroughfare of the town where I was born.",The dream ended with the thought that if I had known this was the main road I need not have resorted to the acrobatics that had brought me there.,1.875
321,BNC-2119,``It was such a shock when I realised what Dora was suggesting. We had a terrible quarrel... I was screaming at her.,I don't think I can ever be friends with her again.,-0.7777777777777778
322,BNC-2120,"``I didn't think, I just assumed I could rent a plane and fly over.''",I didn't think they 'd ask for a licence.,-1.25
325,BNC-2150,"Whatever I learnt, I shared with Joe, not, I'm afraid, so that he would be more educated, but so that I would be less ashamed of him in front of Estella. One Sunday Joe and I went out on the marshes, as usual, to study together.",I don't think he ever remembered anything from one week to the next but he smoked his pipe comfortably looking as intelligent as he could.,-1
327,BNC-2153,"She was a girl of firmly fixed, if limited, principles, and, on the purely domestic front, an excellent wife. She cooked superbly, adored her baby sons and mothered her husband, buying him linctus whenever he coughed and insisting he should take cod-liver oil in the winter.",I don't think Sophie had ever felt anything so complicated as guilt so she must have done these things because she was fond of him.,0.375
329,BNC-2163,"The producer's credit was for Robert Forbes, Jo's father and Lorna's husband, who sat beside his wife, his long, elegant legs half-hidden in the ultramarine satin folds of her skirt. Even in his eighties he was a fine-looking man, the more so in any kind of formal dress.",The truth was that the two women between them had raised the nine million dollars needed to make The Dawn of Dreams and they had done it with such consummate feminine grace that the handsome silver-haired head of the family did not quite understand that his title of producer was merely honorary.,2
331,BNC-2175,I don't mean! You're always telling me what I should be - or do - or say.,Why is it so important to you that I admit I'm a thief?,0.5555555555555556
332,BNC-2180,Bohemian pyrotechnics are not what marriage to Stu promises. Gillian has landed herself nothing other than the youngest older man she could find.,But would it have been fair to point all this out as they nuzzled one another on some Anglian plage and assumed I wasn't noticing?,-1.6666666666666667
335,BNC-2186,"Doyle, the Woman, the television news-readers, Hank, the girl and the policeman - even his own face in the mirror - all told him that he was Philip Doyle. That Liam Shakespeare was a hostage in a house in Shelley Grove.",And did he really believe that they were all wrong?,-0.8888888888888888
337,BNC-2192,"Little did they know this was the fellow for whom The Flippity Flop Young Man was written, and I wasn't about to tell them. Would it have made any difference if I had?",Did he enjoy being a temporarily anonymous spectacle or did he believe these seamstresses and pipe fitters knew who he was?,-1.1111111111111112
338,BNC-2203,Paddington was beginning to loom slightly larger than a man's hand on the horizon. Paddington was where the murdered Kemp had stood and phoned The Randolph the previous day.,So was it too much to believe that it was Kemp that Stratton had seen - about five o'clock hadn't he said?,0.5555555555555556
341,BNC-2237,It must be because I'm not reacting to the socket like the receptionist would. Her own horror burst out of its chrysalis.,If that woman's the sort who 'll incinerate a whole building what will she do to me when she finds out I 've heard all this?,1.375
345,BNC-2252,"And between claws and body, a Medusa's head, with cold, unlidded eyes. She looked at her drawing and was pleased.",Where had she heard that scorpions when threatened by fire stung themselves?,0.5
346,BNC-2258,"Carnelian must know special runes to inscribe around the eye-screen and arcane litanies to incant, to make it serve this two-way purpose, which perhaps had been the true purpose of the device in the first place... ``I'm listening,'' Jaq shouted. ``I'm all ears.''",Did Carnelian hope that Jaq or Meh ` Lindi would rush or fire impetuously - only for their laser beams or needles to pass through the phantom without effect till they hit some bystander or the Governor's tabernacle?,0.625
347,BNC-2263,"I wondered if I should continue working with Joe in a plain, honest way of life, and perhaps marry Biddy.",Or dare I hope that Miss Havisham would make my fortune and marry me to Estella?,-0.2222222222222222
348,BNC-2266,"You have refused to pay what has been asked for my return, but if you knew what I have become, a fearless old man with nothing left to lose, you would pay twice as much to have me kept away! Whatever happens now, my children, we can never be again as we were.",Do you imagine that I could forgive and forget knowing what I know now or that any of you could meet my eye knowing what you do?,-1.5555555555555556
350,BNC-2295,"He had deceived her utterly from start to finish, and such calculated deceit was a downright insult!",Why had he insisted there was no one else when it was perfectly obvious that there was?,-2
351,BNC-2296,Either way the result is inevitably the same. A severed jugular!,And does the Government insist that health warnings should be printed upon W.N.B.s?,-0.125
352,BNC-2307,So the hound followed the scent and hunted this man. But there is one thing I don't understand.,How did Selden know that the hound was following him?,1.875
354,BNC-232,"He would be furious, of course, and rightly so. But, even if she could find the nerve to admit to her deception, she couldn't own up to a thing - Cara was depending on her!",Fabia was seated beside Ven in a taxi when she realised that furious would be an understatement for what Ven would be if he ever learned that she had not only deceived him but to add insult to injury allowed him believing her to be someone else to house her and feed her into the bargain.,2
355,BNC-2325,"Where's he got all that from? Some kind of Gerald Durrell character, is he, going round the world collecting creepy-crawlies?",Does he know I'm listening?,1.8888888888888888
357,BNC-2330,Why was the Provost angry? Why did the wild friend ride from Hamptonshire to Hungary?,And why was Tom denied by Edith Cove who knew that all he said was true?,1.75
363,BNC-237,"He was so very young, so hurt and confused by all that had happened in his life, it seemed only natural that he should want to lash out. And if it was her he was lashing out at, so be it.",She was strong enough to take a certain amount of punishment if it meant that in the end Matthew would rid himself of that core of hatred which was slowly eating him away.,0.7777777777777778
366,BNC-2388,"``Willy did mention it. I was puzzled, I 'll admit, but now I understand.''",How did you know Heather had been there?,1.4444444444444444
371,BNC-2427,"The machine does not function, he wrote. The desired outcome is delayed.",Does that mean that one day it will happen?,0.5
372,BNC-2428,"She imagined tiny villages far to the north of England which had no electricity or telegraphs, which believed in lake monsters and King Arthur, and were not so different from northern towns near Canada. The northern English towns might not know or care that Wall Street had crashed.",What does it mean that a market has crashed?,1.5555555555555556
373,BNC-2429,Yesterday I couldn't have done it. Couldn't have picked up the pen and opened the notebook and faced the blank page.,Does my writing this down now mean that I am a little bit reconciled to myself?,0.3333333333333333
375,BNC-2436,But he had called on Lorton on the Sunday of Newley's disappearance. Newley must have put him up to it.,Did that mean that Tolby had some inkling about the theft of the coins and Newley's suspicions about the identity of the thief?,0.8888888888888888
376,BNC-2438,"Surely, the fact that he was out here, calmly taking a holiday, might be an encouraging sign? The machinations of corporate sharks were a slightly hazy area in her experience.",Did this mean Guy Sterne didn't consider the crisis at Chester's to be that big a crisis after all?,0.3333333333333333
378,BNC-2452,"If I beckon, she will certainly come to me! he thought, and his mind whirled, so that for a moment he barely saw the waiting Fiana candidates and the glittering Sun Chamber.",Or should he turn desire aside and pretend that there had never been that brief blinding flare of longing between them?,-0.375
379,BNC-2453,"During this interlude, Charlotte reminded herself of the different bluffs and deceptions each was practising. Would Natasha admit she had known of Maurice's plan from the outset?",Or would she pretend she had never known anything about the letters?,-1.625
380,BNC-2459,"The ninth bomber came out of a lightening sky at six o'clock exactly, and though she sat there for another hour, it was the last.''... and three of our aircraft have failed to return,'' the man who read the news would intone on the midday bulletin.",Were they just words he was reading or did he realize that three aircraft meant twenty-one crew and countless women waiting anxiously for the phone call that would tell them their man was safe - or the letter that would tell them he was not?,0.625
384,BNC-2464,I believe the rooms have already been set aside. Does Dr Serafin know about them yet?,Does he realize that he is part of Tite's plans - as I now dimly begin to perceive - to revive the flagging fortunes of the Government Commission?,1.625
386,BNC-249,Polly met his troubled gaze.,She had to hear it from his own lips even if it meant that part of her died.,0.625
388,BNC-2491,"Change their bodies and conditions, and you could get fibres like glass, still monofilament, but with logarithmic progressions of possibilities of strength and flexibility, and the ability to resonate light-particles or sound-waves undistorted, scarcely weakened over thousands of miles. Who said the arachnids had to be totally organic?",Who said their glassy strands should be wholly of what was called silk?,-0.25
390,BNC-2499,"Alice smiled and nodded, and got up to stand at the window, looking out. Indolent and privileged, daughter of the Establishment, she leaned on the sill, watching the goings-on in the street, and listened to the sounds of paper sliding on paper.",Should she say her father had agreed she should have some money?,0.45454545454545453
391,BNC-2504,"Is that what you're saying? Although why you should imagine I would want acceptance into your family when I have a perfectly good family of my own, I have no idea.",Did your mother say Gramps was Phena's father?,0
392,BNC-251,"The men surrounding them were squat and dark, their expressions callous and indifferent. They were just doing their job.",If it meant a woman had to suffer that was no concern of theirs.,1.375
393,BNC-2523,"Which brings us to Selkirk's verses. We know the falcon is James, the lamb is Angus, the Lion also is the King of Scotland.",Is Selkirk saying that somehow King James survived Flodden?,-0.2222222222222222
394,BNC-2527,So her early impressions were confirmed. He was an exacting man to work for.,Who says that London is more frantic than the provinces?,-1
396,BNC-2533,"There! I have a genius for this, which I offer to God.",Do they say I am crazy brother?,-0.6923076923076923
397,BNC-2560,``But that's not fair! That's downright cheating!'',What's to stop you simply saying that my designs aren't suitable and demanding the money whether it's true or not?,-1.2
398,BNC-2566,"I didn't understand some parts of your letter. I'm a woman, or rather a girl, and not clever.",How can you say women are not inferior to men?,-0.3
400,BNC-2584,"If we all want it put a stop to, will the government do something about it, or will it be like you said, Mr. Gerrard?",Will they see they can use this... this science for their own political ideas?,0.7777777777777778
401,BNC-2604,But I have to admit you confuse me. First you are looking for a man named Svend - then it is your sister.,Do you suppose I run a rooming house or can it be you are not so innocent as you appear?,-1.5555555555555556
402,BNC-2615,By the next day we were ready to go to work. What tells me that this is right?,What tells me that all the rest was wrong?,0.625
403,BNC-2616,"Obviously Edwin had not murdered Francis but he had created a situation in which violence was more likely. The main provisions of the will were devisive and certain to breed strife, but they provided no motive for Francis's murder.",How often had Wycliffe told himself that the only obvious beneficiary from Francis's death was his daughter?,1
408,BNC-2664,"I only need that, thought Sara. What was she going to do about Matthew and Jenny?",Warn him off and have him think she wanted to encourage him herself?,-0.6666666666666666
409,BNC-2670,She had spoiled the child rotten. But what else could she have done?,Who would have thought that that bright articulate girl would turn out like this?,-0.5
410,BNC-2677,"He said. ``Not if I want to continue fitting into all my clothes.'' Good grief, what century was this man living in?",Did he think that the Rubenesque figure was still fashionable?,-2
411,BNC-2678,"When one morning she told me that they were going away, I can't say that it was a surprise. The way she put it was that Michel had very kindly offered to drive her to Paris, which she had never seen properly (Simon used to grumble so about not being able to take her because of the war).",Did I think I would be able to manage for a while on my own?,-0.5555555555555556
412,BNC-293,Alan Dysart. Harry's mother reacted to his arrival as if the Prince of Wales had called by unexpectedly.,If she remembered he was the same man whom her son had once employed there was no way of telling from the awed reception she gave him.,1.5
415,BNC-300,It was true that Robert had always liked pigs.,But no one in Class 1 had seemed unduly disturbed by his account of them even if the Husayn twins had said that pigs were ``boring'' and had asked if they could bring in the novelization of Terminator Two.,1
416,BNC-304,"And Sarah knew, while Peter didn't. It amazed her that she should find it difficult to tell him.",If anyone had said to her yesterday that it would be almost beyond her powers to tell Peter of Nona's death she would have laughed.,0.625
418,BNC-326,"He had exercised effective control of the labour force for ten years at the giant plant and had been able to bring the workers out on strike at the drop of a hat. It was he, Clasper, who dictated to management the size of the labour force they would require to produce a given number of products, regardless of any figure which management might arrive at by employing accurately measured work standards.",If in effect Clasper said that three men must be employed to do two men's work then that was it.,1.25
419,BNC-328,He had realised as soon as he had employed Michael that he had found himself a kindred spirit. Michael was innately honest.,If he said the punter had paid him fifty quid Joe knew that was what had been paid.,1.8181818181818181
420,BNC-335,Meg realized she 'd been a complete fool. She could have said it differently.,If she 'd said Carolyn had borrowed a book from Clare and wanted to return it they 'd have given her the address.,0.25
421,BNC-342,"I don't know if it's sex, or fear that I'm up to some trick. If he does think about the pictures, he accepts everything I say.",If I said Michelangelo's David was a frying-pan he 'd say ``I see.'',-0.9090909090909091
422,BNC-350,And after that - nothing. Silence.,Blaming it on the Company would be just a fallback - you wouldn't believe me if I said I wasn't drinking of that but you might believe me if I say we 'd prefer the good old British way.,1
424,BNC-36,"I told you once before what I believe in, Michael Riven. I believe in friendship, also.",If you believe that you can aid this world by standing on your head then I will hold your ankles for you.,-1
426,BNC-365,Anybody who's not a shrink (or my wife) only sees an ink blot when they look at one. This is an absolute nuthouse.,If I said I saw sex organs when I looked at your rotten ink blots that would really get you going wouldn't it?,-1.3636363636363635
429,BNC-373,"But to make matters worse the usual comfort a father has in these situations - that is, the notion that his son gave his life gloriously for king and country - was sullied by the fact that my brother had perished in a particularly infamous manoeuvre. Not only was it alleged that the manoeuvre had been a most un-British attack on civilian Boer settlements, overwhelming evidence emerged that it had been irresponsibly commanded with several floutings of elementary military precautions, so that the men who had died - my brother among them - had died quite needlessly.",In view of what I am about to relate it would not be proper of me to identify the manoeuvre any more precisely though you may well guess which one I am alluding to if I say that it caused something of an uproar at the time adding significantly to the controversy the conflict as a whole was attracting.,1.5
431,BNC-376,"``Can you?'' ``The wedding of course,'' said my mother ill-advisedly.",Lili frowned and I wondered what would happen if I should say that the wedding was cancelled.,1
433,BNC-394,"Jotan looked as though he was considering the alternatives. ``We are summoned to audience with Artai later,'' he said, ``but until then we can do as we please.''",Alexei thought that if the phrasing of the observation suggested that Burun was anything other than his own master it was surely an accident.,-1.25
434,BNC-396,"Fernando drew away from her and Ruth scrambled to her feet, smoothing the creases from her dress. While he shook out the blanket and brushed down his trousers Ruth turned her pinched face towards the sea.",She loved him so very much that if he suggested they take hands and spurt to the cliff-edge and plunge off the edge together like lovesick lemmings she would do it.,-0.75
435,BNC-397,"Alas, poor Cecil. Better for him, maybe, had he stuck to his original scheme.",Still he enjoyed the chairmanship and gets very cross if anyone suggests that it would have been difficult for anyone to have thrown away a Tory victory in post-Falklands Britain with a Labour Party led by Michael Foot.,-0.375
436,BNC-398,"Still, she could get started on a draft. She took out her pocket recorder and began dictating.",If somebody had suggested to Agnes that she was not security-minded she would just have stared at them.,-1.4444444444444444
439,BNC-406,"The shock wave was delayed by only a few more seconds, and then it rolled over them like a small hurricane. No loose ends.",The words had been Sandor's before he died and Rostov wondered if the assassin had ever suspected that he too was scheduled for termination once he completed his assigned task.,1.75
441,BNC-412,"Unlike Aunt Kit, who believed it to be a barbaric rite, intolerable between reasonable men and women, Aunt Lilian, the headmistress, simply felt it her duty to point out that a career - any career - would be less easy once a girl was lumbered with a husband and children. (Though in fact she would not have said ``lumbered'', not because she was afraid to put forward an unpopular view, but because she was an honourable and exact woman.)",If she suspected she had enjoyed her life more than most of her married contemporaries she would never have used a pejorative word about the married state since she had no personal experience of it.),-0.6666666666666666
442,BNC-413,She had known Mandy all her life. The papers might talk about the swinging sixties but the nearest most girls of Maura's age got to it was in the clothes they wore.,If her brothers even suspected that she had been with a boy all hell would break loose.,0.625
444,BNC-418,"``I think I have it all now, Mr Robinson.'' Mary almost laughed aloud at Hope's tolerant gravity.",If her father had told him that he had also to hold the rod in his hand and drop the line into the water she would not have been surprised.,0.4444444444444444
445,BNC-420,"And he turned, shy, somehow, and they held each other. Nathan smelt warm sleep, clean skin.",If someone had told him that he 'd been angry a moment before he would 've denied it.,1.25
446,BNC-422,"He trusted the captains of his ships, he trusted his trading partners in the East, in the Indian Ocean, over the Atlantic, around the African coast. His clerks, his associates in Liverpool, his bank, his builders, his carpenters, those who supplied him with his furniture and his clothes - Mr Crump moved in a world of total trust.",If he had been told that the prime sources of his immense and mathematically infinitely expanding wealth were invariably polluted with the deceits and bad faith of exploitation cruelty oppression barbarism murder and vicious wrongdoing he would have been at first amazed then outraged and finally contemptuous disbelieving the information.,1.1111111111111112
447,BNC-426,"Imagine if, for instance, we could get him standing up in public, get him photographed, on newsreel, all around the world, saying that we were fighting a just war, that Hitler was insane, that we had to win. Imagine him appealing to America to come in quickly, fight the good fight with us, shoulder to shoulder.",Imagine if he told the Russians that Hitler was going to turn against them soon.,1.2222222222222223
448,BNC-427,Pictures of Lizzy as a child were everywhere. She shook her head.,If anyone had told her that her granddaughter was on drugs she would have laughed in their face.,0
449,BNC-428,His reaction to the news had been partly predictable and partly complex and more disturbing. There had been the natural initial shock of disbelief at hearing of the unexpected death of any person even casually known.,He would have felt no less if he 'd been told that Berowne was dead of a coronary or killed in a car smash.,-0.75
451,BNC-435,"You say you love me. Well, I love you too.",How would you feel if I told you there was a girl going to have a child of mine - some other girl some stranger?,0.625
452,BNC-454,``Keep your faces down.'' Beth feared for the children's sight as she lurched forward to grab the branch.,If she thought Matthew would stop once she had hold of the other end Beth was badly mistaken.,-1.3846153846153846
453,BNC-455,"What you should do - if you were sophisticated - was just give the glass a swirl and sniff, which would tell you whether or not the wine was off. So this was what Ollie took to doing, reducing his performance to a series of loud inhalings followed by a curt nod.",Sometimes if he thought one of the girls didn't know what he was doing he 'd go into a long explanation of why he hadn't actually tasted the stuff.,0.6
454,BNC-459,"Come on, convince them. He realized that his last chance was to make his captors believe that Donna knew where the book they sought was hidden, whatever it was.",If they thought that she knew they might let him go.,-0.625
455,BNC-461,"It had sounded very plausible through the claret and the brandy and the smoke of Ben Braithwaite's excellent cigars. Less so the next morning when, his stomach seriously disordered and his head aching, John-William had started to wonder why a man like Goldsborough who was'' gentry'' through and through despite his odd goings-on at the Fleece, should be making revolutionary suggestions as to how the'' squires ' government might be brought down.",Not that John-William was particularly opposed to revolution if he thought he had a chance of winning.,-0.375
456,BNC-463,He could be genuinely offering her his guidance around the exposition or he could be offering her guidance in the art of something else! Ruth's eyes sought out Steve as if he had the answers she needed.,He looked in her direction and they exchanged smiles and Ruth somehow felt that if Steve thought she was in trouble and needed bailing out he would come over immediately.,0.125
457,BNC-468,"On the second day, Tim showed Anna the system in the warehouse. On the third, he explained how to use the computer for reordering.",On the fourth day he was off sick and Mr Mulgrove asked Anna if she thought she could manage and to ask Heather on flours and dried fruits if she wasn't sure of anything.,-0.09090909090909091
458,BNC-473,"As you saw, I 've got my tent set up now on the island. I 'll work there, and I 'll come back and sleep in the house.",If Ewen does come back he 'll see the tent and if he thinks that ``Parsons'' is safely out of the way then whatever his interest is in the house he 'll no doubt show it.,0.2222222222222222
459,BNC-476,"The nun and her superior exchanged glances. Then Mother Francis, with a small inclination of her head, gave the nun leave to take this very awkward child away.",If the Mother Superior and the nun were thinking the child was odd it was nothing to what Millie was thinking about them and her introduction to the school and its inmates.,0.8
460,BNC-48,"The marriage she had assumed naively would be the end of every serious relationship now seemed a very distant - if not unreachable - shore. Whereas Luke was very near, and the feelings he aroused in her were like an undertow, pulling her down.",If - when - he decided he had waited long enough she was far from certain what her response would be.,-0.4444444444444444
461,BNC-488,"Another vivid picture, this time of herself standing by the ford in fitzAlan's arms, insinuated itself into Isabel's mind. She had a distinctly uncomfortable feeling that he was not referring to the fight which had followed that little incident.",And if he thought she had endured a great deal why hadn't he mentioned her nightmare?,0.6666666666666666
462,BNC-491,Doug emerges from the cabin looking blue with cold. He smiles weakly at everyone.,Although he clearly wants to walk off the boat the ambulance crew scramble on board and clamp him onto a stretcher so firmly that I wonder if they think he might punch them.,-0.25
463,BNC-492,Maybe neither Dixie nor the topcoat had criminal records. Certainly the old man will have said he saw a man robbing them.,But if the police really think those two stiffs were innocent members of the park-going public why do they think villains gunned them down?,-0.5
464,BNC-50,Gold dust. He returned the other three books to the trunk and replaced the mattresses.,There would be no reason for the trunk to be disturbed and if Carson decided that he wanted to see the other diaries it would be a simple matter to get hold of them.,0.2222222222222222
465,BNC-500,She shivered. The letter had definitely stated that she was to be met.,But if they thought the coach was not coming... Before she had quite given in to despair however from out of the doorway of the inn came a dour old man in ancient shabby livery with shiny elbows and tarnished braid.,-0.25
466,BNC-505,"At the sight of him I would smell the dust of the confessional and remember the mixture of boredom, shame and relief as I said my penances. I was familiar with the view that the priesthood is beyond shock, being entirely cognisant of the whole sum of human folly and evil from the outpourings of the penitent, but I wasn't convinced.",I also had a feeling that my mother would never forgive me if she thought I had admitted to fornication and worse to a person who came to her house and drank her sherry.,-0.1111111111111111
469,BNC-53,"Contrary to what he had suggested, Marc was a good, fast skier, and it was Sarella who had had difficulty in keeping up. But then she hadn't expected it to be any different.",He would be a world-champion tiddly-winks player too if he ever decided it was something worth taking up.,-0.2222222222222222
472,BNC-555,You could have both gone direct to England from New York. But you wanted to come up this way.,If you think this is cold you wait till we hit Greenland.,0.4444444444444444
